hotel name,city,certification,score,review rate,reviews,room type,occupancy,Free cancellation,pay at the property,No prepayment needed,rooms left,nights/adults,price,location rate,bb included
Woodlands Hotel & Leisure Centre,Waterford,,8.1,Very Good,"2,610 reviews",Family Room,"3 beds (2 twins, 1 queen)",Free cancellation,– pay at the property,No prepayment needed,Only 2 rooms left at this price on our site,"1 night, 2 adults",€ 209,,
"Powerscourt Hotel, Autograph Collection",Enniskerry,Sustainability certification,8.9,Excellent,"1,720 reviews",Guestroom with Two Single Beds,2 twin beds,,,,,"1 night, 2 adults",€ 450,Location 9.5,
Maldron Hotel Dublin Airport,Cloghran,Sustainability certification,7.7,Good,"11,305 reviews",Twin Room,2 twin beds,Free cancellation,– pay at the property,No prepayment needed,,"1 night, 2 adults",€ 242,,
The Johnstown Estate,Enfield,,8.5,Very Good,"1,221 reviews",Deluxe Twin Bedroom,2 twin beds,,,,Only 2 rooms left at this price on our site,"1 night, 2 adults",€ 279,,Breakfast included
Maldron Hotel South Mall Cork City,Cork,Sustainability certification,8.4,Very Good,"5,148 reviews",Deluxe Double Room,1 full bed,Free cancellation,– pay at the property,No prepayment needed,Only 6 rooms left at this price on our site,"1 night, 2 adults",€ 250,Location 9.4,
Imperial Hotel Cork City,Cork,Sustainability certification,8.7,Excellent,"4,401 reviews",Classic Double Room,1 full bed,Free cancellation,– pay at the property,No prepayment needed,,"1 night, 2 adults",€ 230,Location 9.6,
"Belleek Castle, Ballina",Ballina,,8.7,Excellent,448 reviews,Family Room,Multiple bed types,,,,Only 1 room left at this price on our site,"1 night, 2 adults",€ 299,Location 9.3,Breakfast included
The Lakeside Hotel & Leisure Centre,Killaloe,,8.8,Excellent,"1,657 reviews",Superior Waterfront Room - Adult Only,1 king bed,Free cancellation,,,,"1 night, 2 adults",€ 362,Location 9.4,Breakfast included
Cavan Crystal Hotel,Cavan,,8.7,Excellent,"1,627 reviews",Double or Twin Room,Beds: 1 double or 2 twins,,,,Only 1 room left at this price on our site,"1 night, 2 adults",€ 254,,Breakfast included
Maldron Hotel Tallaght,Tallaght,Sustainability certification,7.3,Good,"2,728 reviews",Double Room,1 full bed,Free cancellation,,,,"1 night, 2 adults",€ 219,,
Louis Fitzgerald Hotel,Clondalkin,,7.7,Good,"4,465 reviews",Double Room,1 full bed,,,,,"1 night, 2 adults",€ 159,,
Castle Arch Hotel,Trim,,7.4,Good,"1,004 reviews",Double Room,1 full bed,Free cancellation,– pay at the property,No prepayment needed,Only 4 rooms left at this price on our site,"1 night, 2 adults",€ 179,,Breakfast included
"Radisson Blu Hotel, Letterkenny",Letterkenny,Sustainability certification,8.8,Excellent,"4,907 reviews",Standard Room,Beds: 1 double or 2 twins,Free cancellation,– pay at the property,No prepayment needed,,"1 night, 2 adults",€ 199,,Breakfast included
Clonakilty Park Hotel,Clonakilty,,8.4,Very Good,"1,094 reviews",Superior Family Room,"3 beds (2 twins, 1 king)",Free cancellation,,,Only 1 room left at this price on our site,"1 night, 2 adults",€ 239,,
"Radisson BLU Hotel & Spa, Little Island Cork",Cork,,7.6,Good,"4,479 reviews",Standard Room,Beds: 1 double or 2 twins,Free cancellation,– pay at the property,No prepayment needed,,"1 night, 2 adults",€ 249,,
Radisson Blu Hotel Dublin Airport,Cloghran,Sustainability certification,8,Very Good,"8,010 reviews",Standard Room,1 full bed,Free cancellation,,,,"1 night, 2 adults",€ 266,,
Mullingar Park Hotel,Mullingar,,8.4,Very Good,869 reviews,Double Room,1 full bed,,,,,"1 night, 2 adults",€ 219,,Breakfast included
The Coachmans Inn,Roscommon,,9.1,Wonderful,342 reviews,Standard Double Room,1 full bed,Free cancellation,– pay at the property,No prepayment needed,,"1 night, 2 adults",€ 99,Location 9.4,
Leonardo Hotel Cork,Cork,Sustainability certification,8.3,Very Good,"1,037 reviews",Standard Double or Twin Room,"2 beds (1 twin, 1 full)",,,,,"1 night, 2 adults",€ 270,,
Silver Tassie Hotel & Spa,Letterkenny,,8.6,Excellent,"1,031 reviews",Double or Twin Room,Beds: 1 double or 2 twins,Free cancellation,– pay at the property,No prepayment needed,Only 5 rooms left at this price on our site,"1 night, 2 adults",€ 155,,Breakfast included
Lyrath Estate,Kilkenny,,8.7,Excellent,"2,696 reviews",Estate View Guestroom,1 full bed,,,,Only 1 room left at this price on our site,"1 night, 2 adults",€ 410,,Breakfast included
Clayton Hotel Limerick,"Limerick City Centre, Limerick",Sustainability certification,8.2,Very Good,"2,166 reviews",Double Room,1 full bed,Free cancellation,– pay at the property,No prepayment needed,,"1 night, 2 adults",€ 289,,
Killarney Towers Hotel & Leisure Centre,Killarney,Sustainability certification,8.6,Excellent,"4,221 reviews",Classic Double Room,1 full bed,,,,Only 1 room left at this price on our site,"1 night, 2 adults",€ 229,Location 9.6,
Motel One Dublin,"Dublin City Centre, Dublin",,8.9,Excellent,"5,279 reviews",Standard King Room,1 king bed,Free cancellation,– pay at the property,No prepayment needed,,"1 night, 2 adults",€ 259,Location 9.7,
The Savoy Hotel,"Limerick City Centre, Limerick",,8.5,Very Good,"2,050 reviews",Deluxe King Room,1 king bed,Free cancellation,– pay at the property,No prepayment needed,Only 4 rooms left at this price on our site,"1 night, 2 adults",€ 295,Location 9.4,
Connemara Sands Hotel & Spa,Clifden,•  •  •  •,8.9,Excellent,521 reviews,Superior Two-Bedroom Suite,"4 beds (2 twins, 1 full, 1 sofa bed)",Free cancellation,– pay at the property,No prepayment needed,Only 1 left at this price on our site,"1 night, 2 adults",€ 330,Location 9.4,Breakfast included
The Dean Galway,Galway,,8.4,Very Good,"2,376 reviews",Mod Pod,1 full bed,,,,Only 5 rooms left at this price on our site,"1 night, 2 adults",€ 349,,
Riverside Hotel,Sligo,,8.6,Excellent,"5,734 reviews",Double Room,1 queen bed,,,,Only 5 rooms left at this price on our site,"1 night, 2 adults",€ 199,,
Clayton Whites Hotel,Wexford,Sustainability certification,8.3,Very Good,119 reviews,Double & Single Room,"2 beds (1 twin, 1 full)",Free cancellation,– pay at the property,No prepayment needed,Only 1 room left at this price on our site,"1 night, 2 adults",€ 219,,Breakfast included
Schull Harbour Hotel & Leisure Centre,Schull,,8.5,Very Good,846 reviews,Superior Double or Twin Room,Multiple bed types,,,,Only 2 rooms left at this price on our site,"1 night, 2 adults",€ 239,Location 9.5,
Talbot Hotel Wexford,Wexford,Sustainability certification,8.4,Very Good,"4,369 reviews",Standard Double or Twin Room,Beds: 1 double or 2 twins,Free cancellation,– pay at the property,No prepayment needed,Only 5 rooms left at this price on our site,"1 night, 2 adults",€ 209,Location 9.3,
Maldron Hotel Sandy Road Galway,Galway,Sustainability certification,8,Very Good,"4,027 reviews",Deluxe Double Room,1 full bed,Free cancellation,– pay at the property,No prepayment needed,,"1 night, 2 adults",€ 247,,
Marlin Hotel Stephens Green,"Saint Stephen's Green, Dublin",,8.2,Very Good,"11,659 reviews",Cozy King Room,1 king bed,Free cancellation,– pay at the property,No prepayment needed,,"1 night, 2 adults",€ 249,Location 9.4,
"Radisson Blu Hotel, Athlone",Athlone,Sustainability certification,7.9,Good,"6,092 reviews",Standard Room,Beds: 1 double or 2 twins,Free cancellation,– pay at the property,No prepayment needed,Only 5 rooms left at this price on our site,"1 night, 2 adults",€ 259,,
Sheraton Athlone Hotel,Athlone,Sustainability certification,8.7,Excellent,"5,418 reviews",Classic King Room,1 king bed,Free cancellation,,,Only 5 rooms left at this price on our site,"1 night, 2 adults",€ 275,Location 9.4,
Clayton Hotel Dublin Airport,Cloghran,Sustainability certification,8.3,Very Good,"23,489 reviews",Deluxe Double & Single Room,"2 beds (1 twin, 1 full)",Free cancellation,,,,"1 night, 2 adults",€ 259,,
Lawlors Hotel,Naas,,8.8,Excellent,"2,379 reviews",Twin Room,2 full beds,Free cancellation,– pay at the property,No prepayment needed,Only 2 rooms left at this price on our site,"1 night, 2 adults",€ 329,Location 9.4,
The Glendalough Hotel,Laragh,,7.1,Good,989 reviews,Double or Twin Room,Beds: 1 double or 2 twins,,,,Only 4 rooms left at this price on our site,"1 night, 2 adults",€ 220,Location 9.5,Breakfast included
Hannon's Hotel,Roscommon,,7.7,Good,"1,061 reviews",Double Room,1 full bed,Free cancellation,,,Only 4 rooms left at this price on our site,"1 night, 2 adults",€ 135,,Breakfast included
"Mount Errigal Hotel, Conference & Leisure Centre",Letterkenny,,7.6,Good,"2,473 reviews",Standard Twin Room,2 twin beds,,,,,"1 night, 2 adults",€ 135,,
Beckett Locke,"Dublin City Centre, Dublin",•  •  •,9,Wonderful,"5,887 reviews",Locke Studio,1 queen bed,,,,,"1 night, 2 adults",€ 296,,
The Glenbeigh Hotel,Glenbeigh,,8.6,Excellent,893 reviews,Standard Twin Room,2 twin beds,Free cancellation,,,Only 1 room left at this price on our site,"1 night, 2 adults",€ 179,,Breakfast included
Talbot Hotel Clonmel,Clonmel,,7.7,Good,"1,064 reviews",Double Room,1 full bed,Free cancellation,,,Only 3 rooms left at this price on our site,"1 night, 2 adults",€ 159,,
The Fitzwilton Hotel,Waterford,,8.3,Very Good,"2,570 reviews",Double or Twin Room,"2 beds (1 twin, 1 full)",Free cancellation,– pay at the property,No prepayment needed,,"1 night, 2 adults",€ 190,,
Fennessy's Hotel,Clonmel,,7.1,Good,732 reviews,Twin Room,2 twin beds,Free cancellation,– pay at the property,No prepayment needed,Only 3 rooms left at this price on our site,"1 night, 2 adults",€ 217,,
Maldron Hotel & Leisure Centre Limerick,Limerick,Sustainability certification,7.9,Good,70 reviews,King Room,1 full bed,Free cancellation,– pay at the property,No prepayment needed,Only 5 rooms left at this price on our site,"1 night, 2 adults",€ 219,,
Hodson Bay Hotel,Athlone,Sustainability certification,7.9,Good,"2,151 reviews",Retreat with Lake View (Adults Only),1 queen bed,,,,,"1 night, 2 adults",€ 270,,
Clanree Hotel & Leisure Centre,Letterkenny,,8.5,Very Good,"2,198 reviews",Double or Twin Room,Beds: 1 double or 2 twins,,,,,"1 night, 2 adults",€ 135,,
Ashdown Park Hotel,Gorey,Managed by a private host,8.5,Very Good,"1,266 reviews",Classic Double or Twin Room,"2 beds (1 twin, 1 full)",,,,Only 5 rooms left at this price on our site,"1 night, 2 adults",€ 253,,Breakfast included
Carlton Hotel Dublin Airport,Cloghran,Sustainability certification,8.1,Very Good,"3,966 reviews",Classic Double Room,1 king bed,,,,,"1 night, 2 adults",€ 269,,
Woodlands Hotel & Leisure Centre,Waterford,,8.1,Very Good,"2,610 reviews",Family Room,"3 beds (2 twins, 1 queen)",Free cancellation,– pay at the property,No prepayment needed,Only 2 rooms left at this price on our site,"1 night, 2 adults",€ 209,,
"Powerscourt Hotel, Autograph Collection",Enniskerry,Sustainability certification,8.9,Excellent,"1,720 reviews",Guestroom with Two Single Beds,2 twin beds,,,,,"1 night, 2 adults",€ 450,Location 9.5,
Maldron Hotel Dublin Airport,Cloghran,Sustainability certification,7.7,Good,"11,305 reviews",Twin Room,2 twin beds,Free cancellation,– pay at the property,No prepayment needed,,"1 night, 2 adults",€ 242,,
The Johnstown Estate,Enfield,,8.5,Very Good,"1,221 reviews",Deluxe Twin Bedroom,2 twin beds,,,,Only 2 rooms left at this price on our site,"1 night, 2 adults",€ 279,,Breakfast included
Maldron Hotel South Mall Cork City,Cork,Sustainability certification,8.4,Very Good,"5,148 reviews",Deluxe Double Room,1 full bed,Free cancellation,– pay at the property,No prepayment needed,Only 6 rooms left at this price on our site,"1 night, 2 adults",€ 250,Location 9.4,
Imperial Hotel Cork City,Cork,Sustainability certification,8.7,Excellent,"4,401 reviews",Classic Double Room,1 full bed,Free cancellation,– pay at the property,No prepayment needed,,"1 night, 2 adults",€ 230,Location 9.6,
"Belleek Castle, Ballina",Ballina,,8.7,Excellent,448 reviews,Family Room,Multiple bed types,,,,Only 1 room left at this price on our site,"1 night, 2 adults",€ 299,Location 9.3,Breakfast included
The Lakeside Hotel & Leisure Centre,Killaloe,,8.8,Excellent,"1,657 reviews",Superior Waterfront Room - Adult Only,1 king bed,Free cancellation,,,,"1 night, 2 adults",€ 362,Location 9.4,Breakfast included
Castlemartyr Resort Hotel,Castlemartyr,,8.7,Excellent,"1,440 reviews",Deluxe King or Twin Room,Multiple bed types,Free cancellation,– pay at the property,No prepayment needed,Only 6 rooms left at this price on our site,"1 night, 2 adults",€ 329,,Breakfast included
CityNorth Hotel & Conference Centre,Gormanston,,7.8,Good,707 reviews,DELUXE ROOM,"2 beds (1 twin, 1 full)",Free cancellation,,,,"1 night, 2 adults",€ 177,,
Portmarnock Resort & Jameson Golf Links,Portmarnock,,8.2,Very Good,"2,497 reviews",Classic Double Room,1 full bed,Free cancellation,– pay at the property,No prepayment needed,Only 4 rooms left at this price on our site,"1 night, 2 adults",€ 259,Location 9.3,
Abbey Hotel Roscommon,Roscommon,,8.2,Very Good,"1,755 reviews",Double Room,1 queen bed,,,,Only 5 rooms left at this price on our site,"1 night, 2 adults",€ 200,,Breakfast included
Clayton Hotel Galway,Galway,Sustainability certification,7.8,Good,"4,934 reviews",Deluxe Double & Single Room,"2 beds (1 twin, 1 full)",Free cancellation,,,,"1 night, 2 adults",€ 239,,
Castle Hotel,"Parnell Square, Dublin",,8.1,Very Good,"10,659 reviews",Double Room,1 full bed,Free cancellation,– pay at the property,No prepayment needed,Only 4 rooms left at this price on our site,"1 night, 2 adults",€ 309,,Breakfast included
Fitzpatrick Castle Hotel,Dalkey,,8.1,Very Good,"1,513 reviews",Family Room (2 Adults + 2 Children),2 queen beds,Free cancellation,– pay at the property,No prepayment needed,Only 5 rooms left at this price on our site,"1 night, 2 adults",€ 259,,
Belvedere Hotel Parnell Square,"Parnell Square, Dublin",Sustainability certification,8.4,Very Good,"3,562 reviews",Deluxe Double & Single Room,"2 beds (1 twin, 1 queen)",Free cancellation,– pay at the property,No prepayment needed,Only 4 rooms left at this price on our site,"1 night, 2 adults",€ 339,,
Midlands Park Hotel,Portlaoise,Sustainability certification,8.7,Excellent,"3,199 reviews",Double or Twin Room,Beds: 1 double or 2 twins,Free cancellation,,,,"1 night, 2 adults",€ 260,,
Flannery's Hotel,Galway,,8.1,Very Good,"6,524 reviews",Twin Room,2 twin beds,,,,,"1 night, 2 adults",€ 221,,Breakfast included
Salthill Hotel,"Salthill, Galway",,8.2,Very Good,"3,364 reviews",Classic Double Room,1 full bed,Free cancellation,,,,"1 night, 2 adults",€ 324,,
Clayton Hotel Burlington Road,"Ballsbridge, Dublin",Sustainability certification,8.3,Very Good,"9,081 reviews",Standard King Room,1 king bed,Free cancellation,– pay at the property,No prepayment needed,,"1 night, 2 adults",€ 219,,
Parknasilla Resort & Spa,Sneem,,9,Wonderful,"1,235 reviews",Double Room with Mountain View,1 full bed,,,,Only 2 rooms left at this price on our site,"1 night, 2 adults",€ 355,Location 9.7,Breakfast included
Great National Ballykisteen Golf Hotel,Tipperary,,7.8,Good,"1,515 reviews",Double Room,1 full bed,Free cancellation,,,Only 4 rooms left at this price on our site,"1 night, 2 adults",€ 224,,
Cork International Hotel,Cork,Sustainability certification,8.7,Excellent,"3,837 reviews",Signature Double or Twin Room,"2 beds (1 twin, 1 full)",Free cancellation,– pay at the property,No prepayment needed,Only 1 room left at this price on our site,"1 night, 2 adults",€ 219,,
Talbot Hotel Carlow,Carlow,Sustainability certification,8,Very Good,"1,475 reviews",Family Room,"2 beds (1 twin, 1 full)",Free cancellation,– pay at the property,No prepayment needed,Only 3 rooms left at this price on our site,"1 night, 2 adults",€ 280,,Breakfast included
The Glasshouse,Sligo,,8.6,Excellent,"4,308 reviews",Double Room,1 full bed,Free cancellation,– pay at the property,No prepayment needed,Only 3 rooms left at this price on our site,"1 night, 2 adults",€ 252,Location 9.6,Breakfast included
The Croke Park Hotel,"Drumcondra, Dublin",Sustainability certification,8.7,Excellent,"3,769 reviews",Double Room,1 queen bed,Free cancellation,– pay at the property,No prepayment needed,,"1 night, 2 adults",€ 309,,
Royal Marine Hotel,Dun Laoghaire,,8.2,Very Good,"5,510 reviews",Executive King Room,1 queen bed,,,,Only 2 rooms left at this price on our site,"1 night, 2 adults",€ 249,Location 9.4,
Clayton Hotel & Leisure Club Sligo,Sligo,Sustainability certification,8.1,Very Good,"3,306 reviews",Double Room with Extra Bed,"2 beds (1 twin, 1 full)",Free cancellation,– pay at the property,No prepayment needed,,"1 night, 2 adults",€ 209,,
Sligo Park Hotel & Leisure Club,Sligo,,8.8,Excellent,"1,783 reviews",Double or Twin Room,Beds: 1 double or 2 twins,Free cancellation,,,,"1 night, 2 adults",€ 208,,
"Crowne Plaza Dublin Blanchardstown, an IHG Hotel",Blanchardstown,,8.7,Excellent,"1,856 reviews",Standard  Room,1 full bed,Free cancellation,– pay at the property,No prepayment needed,Only 7 rooms left at this price on our site,"1 night, 2 adults",€ 248,,
Maldron Hotel Shandon Cork City,Cork,Sustainability certification,7.7,Good,"3,200 reviews",Double and Single Bed Room,"2 beds (1 twin, 1 full)",Free cancellation,,,Only 6 rooms left at this price on our site,"1 night, 2 adults",€ 245,,
Academy Plaza Hotel,"Parnell Square, Dublin",,8.1,Very Good,"8,692 reviews",Double Room,1 full bed,Free cancellation,– pay at the property,No prepayment needed,Only 6 rooms left at this price on our site,"1 night, 2 adults",€ 299,Location 9.3,
The Riverside Park Hotel,Enniscorthy,,8.4,Very Good,"3,558 reviews",Family Room (2 Adults + 1 Child),"2 beds (1 twin, 1 full)",Free cancellation,,,Only 1 room left at this price on our site,"1 night, 2 adults",€ 244,,
"Radisson Blu Hotel, Athlone",Athlone,Sustainability certification,7.9,Good,"6,092 reviews",Standard Room,Beds: 1 double or 2 twins,Free cancellation,– pay at the property,No prepayment needed,Only 5 rooms left at this price on our site,"1 night, 2 adults",€ 259,,
Sheraton Athlone Hotel,Athlone,Sustainability certification,8.7,Excellent,"5,418 reviews",Classic King Room,1 king bed,Free cancellation,,,Only 5 rooms left at this price on our site,"1 night, 2 adults",€ 275,Location 9.4,
Clayton Hotel Dublin Airport,Cloghran,Sustainability certification,8.3,Very Good,"23,489 reviews",Deluxe Double & Single Room,"2 beds (1 twin, 1 full)",Free cancellation,,,,"1 night, 2 adults",€ 259,,
Lawlors Hotel,Naas,,8.8,Excellent,"2,379 reviews",Twin Room,2 full beds,Free cancellation,– pay at the property,No prepayment needed,Only 2 rooms left at this price on our site,"1 night, 2 adults",€ 329,Location 9.4,
The Glendalough Hotel,Laragh,,7.1,Good,989 reviews,Double or Twin Room,Beds: 1 double or 2 twins,,,,Only 4 rooms left at this price on our site,"1 night, 2 adults",€ 220,Location 9.5,Breakfast included
Hannon's Hotel,Roscommon,,7.7,Good,"1,061 reviews",Double Room,1 full bed,Free cancellation,,,Only 4 rooms left at this price on our site,"1 night, 2 adults",€ 135,,Breakfast included
"Mount Errigal Hotel, Conference & Leisure Centre",Letterkenny,,7.6,Good,"2,473 reviews",Standard Twin Room,2 twin beds,,,,,"1 night, 2 adults",€ 135,,
Beckett Locke,"Dublin City Centre, Dublin",•  •  •,9,Wonderful,"5,887 reviews",Locke Studio,1 queen bed,,,,,"1 night, 2 adults",€ 296,,
The Glenbeigh Hotel,Glenbeigh,,8.6,Excellent,893 reviews,Standard Twin Room,2 twin beds,Free cancellation,,,Only 1 room left at this price on our site,"1 night, 2 adults",€ 179,,Breakfast included
Talbot Hotel Clonmel,Clonmel,,7.7,Good,"1,064 reviews",Double Room,1 full bed,Free cancellation,,,Only 3 rooms left at this price on our site,"1 night, 2 adults",€ 159,,
The Fitzwilton Hotel,Waterford,,8.3,Very Good,"2,570 reviews",Double or Twin Room,"2 beds (1 twin, 1 full)",Free cancellation,– pay at the property,No prepayment needed,,"1 night, 2 adults",€ 190,,
Fennessy's Hotel,Clonmel,,7.1,Good,732 reviews,Twin Room,2 twin beds,Free cancellation,– pay at the property,No prepayment needed,Only 3 rooms left at this price on our site,"1 night, 2 adults",€ 217,,
Maldron Hotel & Leisure Centre Limerick,Limerick,Sustainability certification,7.9,Good,70 reviews,King Room,1 full bed,Free cancellation,– pay at the property,No prepayment needed,Only 5 rooms left at this price on our site,"1 night, 2 adults",€ 219,,
Hodson Bay Hotel,Athlone,Sustainability certification,7.9,Good,"2,151 reviews",Retreat with Lake View (Adults Only),1 queen bed,,,,,"1 night, 2 adults",€ 270,,
Clanree Hotel & Leisure Centre,Letterkenny,,8.5,Very Good,"2,198 reviews",Double or Twin Room,Beds: 1 double or 2 twins,,,,,"1 night, 2 adults",€ 135,,
Ashdown Park Hotel,Gorey,Managed by a private host,8.5,Very Good,"1,266 reviews",Classic Double or Twin Room,"2 beds (1 twin, 1 full)",,,,Only 5 rooms left at this price on our site,"1 night, 2 adults",€ 253,,Breakfast included
Carlton Hotel Dublin Airport,Cloghran,Sustainability certification,8.1,Very Good,"3,966 reviews",Classic Double Room,1 king bed,,,,,"1 night, 2 adults",€ 269,,
Woodlands Hotel & Leisure Centre,Waterford,,8.1,Very Good,"2,610 reviews",Family Room,"3 beds (2 twins, 1 queen)",Free cancellation,– pay at the property,No prepayment needed,Only 2 rooms left at this price on our site,"1 night, 2 adults",€ 209,,
"Powerscourt Hotel, Autograph Collection",Enniskerry,Sustainability certification,8.9,Excellent,"1,720 reviews",Guestroom with Two Single Beds,2 twin beds,,,,,"1 night, 2 adults",€ 450,Location 9.5,
Maldron Hotel Dublin Airport,Cloghran,Sustainability certification,7.7,Good,"11,305 reviews",Twin Room,2 twin beds,Free cancellation,– pay at the property,No prepayment needed,,"1 night, 2 adults",€ 242,,
The Johnstown Estate,Enfield,,8.5,Very Good,"1,221 reviews",Deluxe Twin Bedroom,2 twin beds,,,,Only 2 rooms left at this price on our site,"1 night, 2 adults",€ 279,,Breakfast included
Maldron Hotel South Mall Cork City,Cork,Sustainability certification,8.4,Very Good,"5,148 reviews",Deluxe Double Room,1 full bed,Free cancellation,– pay at the property,No prepayment needed,Only 6 rooms left at this price on our site,"1 night, 2 adults",€ 250,Location 9.4,
Imperial Hotel Cork City,Cork,Sustainability certification,8.7,Excellent,"4,401 reviews",Classic Double Room,1 full bed,Free cancellation,– pay at the property,No prepayment needed,,"1 night, 2 adults",€ 230,Location 9.6,
"Belleek Castle, Ballina",Ballina,,8.7,Excellent,448 reviews,Family Room,Multiple bed types,,,,Only 1 room left at this price on our site,"1 night, 2 adults",€ 299,Location 9.3,Breakfast included
The Lakeside Hotel & Leisure Centre,Killaloe,,8.8,Excellent,"1,657 reviews",Superior Waterfront Room - Adult Only,1 king bed,Free cancellation,,,,"1 night, 2 adults",€ 362,Location 9.4,Breakfast included
Station House Hotel Letterkenny,Letterkenny,,8.7,Excellent,"2,311 reviews",Twin Room,2 twin beds,Free cancellation,– pay at the property,No prepayment needed,Only 1 room left at this price on our site,"1 night, 2 adults",€ 173,,
Haddington House,Dun Laoghaire,,9,Wonderful,"1,022 reviews",Standard Double or Twin Room,1 full bed,Free cancellation,,,Only 1 room left at this price on our site,"1 night, 2 adults",€ 325,Location 9.7,
Clayton Hotel Cardiff Lane,"Dublin City Centre, Dublin",Sustainability certification,7.7,Good,"10,569 reviews",Deluxe Double Room,1 full bed,Free cancellation,– pay at the property,No prepayment needed,Only 6 rooms left at this price on our site,"1 night, 2 adults",€ 289,,
Eyre Square Hotel,Galway,,7.3,Good,"3,540 reviews",Double Room,1 full bed,Free cancellation,,,,"1 night, 2 adults",€ 319,Location 9.4,
Brook Lane Hotel,Kenmare,,9.2,Wonderful,950 reviews,Superior King Room,Beds: 1 double or 2 twins,,,,Only 2 rooms left at this price on our site,"1 night, 2 adults",€ 231,Location 9.4,Breakfast included
Claregalway Hotel,Claregalway,,8.5,Very Good,"3,709 reviews",Double Room,1 full bed,Free cancellation,– pay at the property,No prepayment needed,,"1 night, 2 adults",€ 219,,
Leonardo Hotel Dublin Parnell Street,"Dublin City Centre, Dublin",Sustainability certification,8.1,Very Good,"1,934 reviews",Standard Twin Room,"2 beds (1 twin, 1 full)",Free cancellation,,,,"1 night, 2 adults",€ 280,,
Leonardo Hotel Galway,Galway,Sustainability certification,8.3,Very Good,"1,666 reviews",Family Room (2 Adults + 2 Children),"2 beds (1 full, 1 sofa bed)",Free cancellation,,,,"1 night, 2 adults",€ 399,Location 9.7,
